Accession,Collection_Date,Host,Country,Subtype,Length,Isolate
XPP62305,1/1/2025,Homo sapiens,USA,H1N1,566,WA-UW-74624
XPP62362,1/6/2025,Homo sapiens,USA,H3N2,566,WA-UW-74272
XPP61963,11/27/2024,Homo sapiens,USA,H3N2,566,WA-UW-74240
XWX51855,11/28/2023,Homo sapiens,USA,H1N1,566,WA-UW-74101
XAX02357,2/5/2024,Homo sapiens,USA,H1N1,566,WA-UW-74068
XPP62274,12/30/2024,Homo sapiens,USA,H3N2,566,WA-UW-73920
XRY73061,2/3/2025,Homo sapiens,USA,H3N2,566,WA-UW-73853
XAX02103,3/29/2024,Homo sapiens,USA,H3N2,566,WA-UW-73432
XPP62096,12/21/2024,Homo sapiens,USA,H3N2,566,WA-UW-73120
XPP62540,12/16/2024,Homo sapiens,USA,H3N2,566,WA-UW-72553
XRY72688,1/22/2025,Homo sapiens,USA,H3N2,566,WA-UW-72368
XBA98695,1/17/2024,Homo sapiens,USA,H3N2,566,WA-UW-72149
XRY72803,1/27/2025,Homo sapiens,USA,H1N1,566,WA-UW-72000
XRY72587,1/9/2025,Homo sapiens,USA,H3N2,566,WA-UW-71200
XAX02058,3/23/2024,Homo sapiens,USA,H1N1,566,WA-UW-71143
XWX49407,12/27/2023,Homo sapiens,USA,,582,WA-UW-70731
XAX02347,3/11/2024,Homo sapiens,USA,H1N1,566,WA-UW-70596
XBA98887,3/5/2024,Homo sapiens,USA,H1N1,566,WA-UW-70568
XAX01993,3/11/2024,Homo sapiens,USA,H1N1,566,WA-UW-70402
XPP62467,12/18/2024,Homo sapiens,USA,H3N2,566,WA-UW-70272
XAX02056,3/23/2024,Homo sapiens,USA,H1N1,566,WA-UW-69882
XWX52071,4/29/2024,Homo sapiens,USA,H1N1,566,WA-UW-69616
XXL32034,4/16/2024,Homo sapiens,USA,H1N1,566,WA-UW-69182
XRY72925,1/31/2025,Homo sapiens,USA,H3N2,566,WA-UW-69024
XWX52311,5/29/2024,Homo sapiens,USA,H3N2,566,WA-UW-68838
XTL09886,1/4/2024,Homo sapiens,USA,H1N1,566,WA-UW-68814
XAX02335,4/4/2024,Homo sapiens,USA,H1N1,566,WA-UW-67618
XTK01838,2/5/2025,Homo sapiens,USA,H1N1,566,WA-UW-67232
XPP62521,12/10/2024,Homo sapiens,USA,H3N2,566,WA-UW-67168
XRY72753,1/25/2025,Homo sapiens,USA,H3N2,566,WA-UW-67104
XAX01939,2/17/2024,Homo sapiens,USA,H1N1,527,WA-UW-67072
XAX01919,2/17/2024,Homo sapiens,USA,H3N2,566,WA-UW-66699
XAX01909,2/17/2024,Homo sapiens,USA,H3N2,566,WA-UW-66615
XPP62145,12/23/2024,Homo sapiens,USA,H3N2,566,WA-UW-66336
XTL10019,2/12/2024,Homo sapiens,USA,H1N1,566,WA-UW-66215
XRY72566,1/8/2025,Homo sapiens,USA,H3N2,566,WA-UW-66208
XWX51907,12/20/2023,Homo sapiens,USA,H1N1,566,WA-UW-65376
XAX02323,2/11/2024,Homo sapiens,USA,H1N1,566,WA-UW-64514
XPP62290,12/30/2024,Homo sapiens,USA,H1N1,566,WA-UW-64256
XAX02314,2/11/2024,Homo sapiens,USA,H1N1,566,WA-UW-64052
XBA98646,1/4/2024,Homo sapiens,USA,H3N2,566,WA-UW-63775
XWX52180,6/3/2024,Homo sapiens,USA,H1N1,566,WA-UW-63332
XWX49391,5/31/2024,Homo sapiens,USA,,582,WA-UW-63109
XWX52075,5/8/2024,Homo sapiens,USA,H1N1,566,WA-UW-63020
XPP62219,12/27/2024,Homo sapiens,USA,H1N1,566,WA-UW-63008
XPP62456,12/25/2024,Homo sapiens,USA,H3N2,566,WA-UW-62624
XPR45473,11/18/2024,Homo sapiens,USA,H1N1,566,WA-UW-62464
XTL09947,1/31/2024,Homo sapiens,USA,H1N1,557,WA-UW-62209
XRY72872,1/29/2025,Homo sapiens,USA,H1N1,566,WA-UW-61760
XBA98800,3/5/2024,Homo sapiens,USA,H1N1,562,WA-UW-61574
XPP62453,12/30/2024,Homo sapiens,USA,H1N1,566,WA-UW-61248
XPR45525,1/4/2025,Homo sapiens,USA,H3N2,566,WA-UW-61184
XBA98878,1/4/2024,Homo sapiens,USA,H1N1,566,WA-UW-61178
XRY72598,1/13/2025,Homo sapiens,USA,H3N2,566,WA-UW-60832
XAX01874,2/10/2024,Homo sapiens,USA,H3N2,566,WA-UW-60367
XRY72860,1/29/2025,Homo sapiens,USA,H3N2,566,WA-UW-60128
XRY72649,1/18/2025,Homo sapiens,USA,H3N2,566,WA-UW-59872
XWX52095,5/11/2024,Homo sapiens,USA,H3N2,565,WA-UW-59658
XBA98635,1/4/2024,Homo sapiens,USA,H3N2,566,WA-UW-59573
XWX52088,5/9/2024,Homo sapiens,USA,H1N1,566,WA-UW-59118
XWX52000,12/29/2023,Homo sapiens,USA,H1N1,566,WA-UW-58981
XWX52299,11/3/2023,Homo sapiens,USA,H1N1,566,WA-UW-58899
XPP62610,12/31/2024,Homo sapiens,USA,H3N2,566,WA-UW-58688
XRY72515,12/31/2024,Homo sapiens,USA,H3N2,566,WA-UW-58496
XWX51986,12/27/2023,Homo sapiens,USA,H3N2,566,WA-UW-58405
XRY72501,12/30/2024,Homo sapiens,USA,H3N2,566,WA-UW-58048
XPP62018,12/16/2024,Homo sapiens,USA,H3N2,566,WA-UW-57824
XRY72593,1/10/2025,Homo sapiens,USA,H3N2,566,WA-UW-57712
XBA98867,1/17/2024,Homo sapiens,USA,H1N1,566,WA-UW-57560
XTL09898,1/5/2024,Homo sapiens,USA,H1N1,555,WA-UW-57439
XWX51860,12/2/2023,Homo sapiens,USA,H1N1,566,WA-UW-57082
XRY72900,1/30/2025,Homo sapiens,USA,H1N1,566,WA-UW-56320
XWX52296,3/25/2024,Homo sapiens,USA,H1N1,566,WA-UW-56213
WWZ33302,12/22/2023,Homo sapiens,USA,,582,WA-UW-54714
XXL31995,12/19/2023,Homo sapiens,USA,H3N2,566,WA-UW-54512
XTK01853,2/5/2025,Homo sapiens,USA,H1N1,566,WA-UW-53740
XTK01827,1/30/2025,Homo sapiens,USA,H3N2,566,WA-UW-53298
XAX02302,3/28/2024,Homo sapiens,USA,H1N1,566,WA-UW-52719
XAX01961,3/4/2024,Homo sapiens,USA,H3N2,566,WA-UW-52621
XRY72625,1/16/2025,Homo sapiens,USA,H1N1,566,WA-UW-52448
XAX02288,3/4/2024,Homo sapiens,USA,H3N2,566,WA-UW-52001
XBA98762,2/9/2024,Homo sapiens,USA,H3N2,564,WA-UW-50875
WWZ33486,11/30/2023,Homo sapiens,USA,H1N1,566,WA-UW-50547
XRY72825,1/28/2025,Homo sapiens,USA,H3N2,566,WA-UW-49984
XWX52038,1/3/2024,Homo sapiens,USA,H3N2,565,WA-UW-49929
XRY72776,1/25/2025,Homo sapiens,USA,H1N1,566,WA-UW-49792
XPP62598,12/30/2024,Homo sapiens,USA,H1N1,566,WA-UW-49792
XAX02279,3/10/2024,Homo sapiens,USA,H1N1,566,WA-UW-49584
XXL32002,12/21/2023,Homo sapiens,USA,H1N1,560,WA-UW-49480
XTK01888,2/12/2025,Homo sapiens,USA,H3N2,566,WA-UW-49283
XPP62105,12/22/2024,Homo sapiens,USA,H1N1,566,WA-UW-49184
XAX01863,2/9/2024,Homo sapiens,USA,H3N2,566,WA-UW-48636
WWZ33478,1/4/2024,Homo sapiens,USA,H1N1,566,WA-UW-48506
XPP62258,12/29/2024,Homo sapiens,USA,H3N2,566,WA-UW-48480
XPP62642,12/31/2024,Homo sapiens,USA,H3N2,566,WA-UW-48352
XAX02090,3/28/2024,Homo sapiens,USA,H3N2,566,WA-UW-47684
XRY72639,1/16/2025,Homo sapiens,USA,H1N1,566,WA-UW-47477
XAX02032,3/15/2024,Homo sapiens,USA,H3N2,566,WA-UW-47439
XBA98682,1/16/2024,Homo sapiens,USA,H3N2,566,WA-UW-46520
XXL32132,12/21/2023,Homo sapiens,USA,H1N1,566,WA-UW-46481
XTL09921,1/10/2024,Homo sapiens,USA,H3N2,566,WA-UW-46399
XPP62162,12/24/2024,Homo sapiens,USA,H3N2,566,WA-UW-45888
XRY72811,1/27/2025,Homo sapiens,USA,H3N2,566,WA-UW-45568
XRY72979,2/3/2025,Homo sapiens,USA,H1N1,566,WA-UW-45280
XRY72731,1/24/2025,Homo sapiens,USA,H3N2,566,WA-UW-44960
XAX02268,3/15/2024,Homo sapiens,USA,H3N2,566,WA-UW-44791
XRY73028,2/5/2025,Homo sapiens,USA,H3N2,566,WA-UW-44736
XRY72909,1/30/2025,Homo sapiens,USA,H1N1,566,WA-UW-44672
XPP62198,12/26/2024,Homo sapiens,USA,H3N2,566,WA-UW-44672
WWZ33470,12/29/2023,Homo sapiens,USA,H1N1,566,WA-UW-43966
XWX51825,11/15/2023,Homo sapiens,USA,H1N1,566,WA-UW-43790
XPP62127,12/23/2024,Homo sapiens,USA,H1N1,566,WA-UW-42976
XRY72911,1/30/2025,Homo sapiens,USA,H3N2,566,WA-UW-42528
XWX52281,5/7/2024,Homo sapiens,USA,H1N1,566,WA-UW-42491
XRY72835,1/28/2025,Homo sapiens,USA,H1N1,566,WA-UW-42464
XWX52269,11/15/2023,Homo sapiens,USA,H1N1,566,WA-UW-42236
WYW90759,3/4/2024,Homo sapiens,USA,,582,WA-UW-42170
XPP62171,12/24/2024,Homo sapiens,USA,H1N1,566,WA-UW-41264
XAX01901,2/15/2024,Homo sapiens,USA,H3N2,566,WA-UW-40844
XPP62576,12/21/2024,Homo sapiens,USA,H3N2,566,WA-UW-40640
WWZ33455,12/29/2023,Homo sapiens,USA,H1N1,566,WA-UW-40414
XWX49386,5/30/2024,Homo sapiens,USA,,582,WA-UW-40168
XWX51975,12/26/2023,Homo sapiens,USA,H1N1,566,WA-UW-39806
XWX51880,12/11/2023,Homo sapiens,USA,H3N2,566,WA-UW-38536
XPP61954,11/26/2024,Homo sapiens,USA,H1N1,566,WA-UW-38432
WWZ33280,12/21/2023,Homo sapiens,USA,,582,WA-UW-38387
XPP62569,12/21/2024,Homo sapiens,USA,H3N2,566,WA-UW-37919
XTK01866,2/8/2025,Homo sapiens,USA,H1N1,566,WA-UW-37902
XRY72715,1/23/2025,Homo sapiens,USA,H3N2,566,WA-UW-37440
XTL09944,1/31/2024,Homo sapiens,USA,H1N1,566,WA-UW-37291
XPP62562,12/19/2024,Homo sapiens,USA,H3N2,566,WA-UW-37216
XRY73021,2/4/2025,Homo sapiens,USA,H1N1,566,WA-UW-36992
XWX49310,5/4/2024,Homo sapiens,USA,,582,WA-UW-36913
XTK01859,2/6/2025,Homo sapiens,USA,H3N2,566,WA-UW-36566
XPP62432,12/26/2024,Homo sapiens,USA,H3N2,566,WA-UW-36224
XAX02254,3/27/2024,Homo sapiens,USA,H1N1,566,WA-UW-36167
XPP61993,12/8/2024,Homo sapiens,USA,H1N1,566,WA-UW-36064
XWX52254,11/25/2023,Homo sapiens,USA,H1N1,566,WA-UW-35309
XRY73047,2/11/2025,Homo sapiens,USA,H1N1,566,WA-UW-35136
XAX02246,4/2/2024,Homo sapiens,USA,H1N1,566,WA-UW-35117
XPR45501,12/28/2024,Homo sapiens,USA,H3N2,566,WA-UW-34894
XWX49376,5/4/2024,Homo sapiens,USA,,582,WA-UW-34444
XWX49365,5/8/2024,Homo sapiens,USA,,582,WA-UW-34424
XWX49354,12/20/2023,Homo sapiens,USA,,582,WA-UW-34389
XRY72931,1/31/2025,Homo sapiens,USA,H3N2,566,WA-UW-33904
XPP62776,11/13/2024,Homo sapiens,USA,H1N1,560,WA-UW-33888
XAX02234,3/3/2024,Homo sapiens,USA,H1N1,566,WA-UW-33784
XRY72585,1/8/2025,Homo sapiens,USA,H1N1,566,WA-UW-33488
WWZ33444,1/3/2024,Homo sapiens,USA,H1N1,566,WA-UW-33325
WWZ33376,1/3/2024,Homo sapiens,USA,H1N1,562,WA-UW-33071
XWX52127,5/15/2024,Homo sapiens,USA,H1N1,566,WA-UW-32988
XAX02223,3/21/2024,Homo sapiens,USA,H3N2,566,WA-UW-32660
XAX01853,2/8/2024,Homo sapiens,USA,H1N1,564,WA-UW-32246
XPP62188,12/25/2024,Homo sapiens,USA,H1N1,566,WA-UW-32064
XPP62420,12/24/2024,Homo sapiens,USA,H3N2,566,WA-UW-32032
XWX52252,12/21/2023,Homo sapiens,USA,H1N1,566,WA-UW-31808
WWZ33346,12/8/2023,Homo sapiens,USA,H3N2,566,WA-UW-31779
XAX02213,2/28/2024,Homo sapiens,USA,H1N1,566,WA-UW-31615
XWX52172,5/29/2024,Homo sapiens,USA,H1N1,566,WA-UW-31518
XPP62118,12/22/2024,Homo sapiens,USA,H1N1,566,WA-UW-30688
XWX52230,12/31/2023,Homo sapiens,USA,H3N2,566,WA-UW-30346
XPR45494,12/28/2024,Homo sapiens,USA,H1N1,566,WA-UW-30170
WWZ33438,12/28/2023,Homo sapiens,USA,H1N1,566,WA-UW-29971
XBA98856,1/9/2024,Homo sapiens,USA,H1N1,566,WA-UW-29969
WWZ33338,12/8/2023,Homo sapiens,USA,H1N1,566,WA-UW-29895
XBA98741,2/2/2024,Homo sapiens,USA,H1N1,566,WA-UW-29840
XWX52012,12/29/2023,Homo sapiens,USA,H1N1,566,WA-UW-29806
WYW90784,3/3/2024,Homo sapiens,USA,,582,WA-UW-29562
XPP62011,12/14/2024,Homo sapiens,USA,H1N1,566,WA-UW-29456
XRY72783,1/26/2025,Homo sapiens,USA,H3N2,566,WA-UW-29120
XPP62531,12/15/2024,Homo sapiens,USA,H3N2,566,WA-UW-29024
XWX52022,12/30/2023,Homo sapiens,USA,H1N1,566,WA-UW-28934
XPR45534,1/6/2025,Homo sapiens,USA,H1N1,566,WA-UW-28928
XPR45519,1/2/2025,Homo sapiens,USA,H3N2,566,WA-UW-28800
XWX52052,4/4/2024,Homo sapiens,USA,H1N1,566,WA-UW-28702
XWX49337,6/4/2024,Homo sapiens,USA,,582,WA-UW-28536
WWZ33327,12/8/2023,Homo sapiens,USA,H3N2,566,WA-UW-28298
XXL32118,4/6/2024,Homo sapiens,USA,H1N1,566,WA-UW-28113
XRY72940,1/31/2025,Homo sapiens,USA,H3N2,566,WA-UW-28096
XRY72604,1/14/2025,Homo sapiens,USA,H3N2,566,WA-UW-27936
XAX02025,3/14/2024,Homo sapiens,USA,H3N2,566,WA-UW-27876
XAX02205,2/15/2024,Homo sapiens,USA,H1N1,566,WA-UW-27657
XTK01799,1/15/2025,Homo sapiens,USA,H1N1,566,WA-UW-26746
WWZ33292,12/14/2023,Homo sapiens,USA,,582,WA-UW-26535
WYW90780,2/28/2024,Homo sapiens,USA,,582,WA-UW-25976
XAX02191,4/8/2024,Homo sapiens,USA,H1N1,566,WA-UW-25800
XPR45543,12/12/2024,Homo sapiens,USA,H3N2,566,WA-UW-25728
XRY72546,1/4/2025,Homo sapiens,USA,H3N2,566,WA-UW-25248
XWX49330,6/4/2024,Homo sapiens,USA,,582,WA-UW-24928
XPP62550,12/16/2024,Homo sapiens,USA,H3N2,566,WA-UW-24704
XAX02184,3/2/2024,Homo sapiens,USA,H1N1,566,WA-UW-24604
WWZ33424,12/2/2023,Homo sapiens,USA,H1N1,566,WA-UW-24299
XWX52111,5/11/2024,Homo sapiens,USA,H1N1,566,WA-UW-24243
XWX52229,6/8/2024,Homo sapiens,USA,H1N1,566,WA-UW-24102
WYW90770,3/2/2024,Homo sapiens,USA,,582,WA-UW-23392
XWX49321,5/1/2024,Homo sapiens,USA,,582,WA-UW-23354
XPP62630,12/22/2024,Homo sapiens,USA,H3N2,566,WA-UW-22208
XPP62663,11/18/2024,Homo sapiens,USA,,582,WA-UW-22208
WWZ33414,12/8/2023,Homo sapiens,USA,H1N1,566,WA-UW-21855
XWX51836,11/16/2023,Homo sapiens,USA,H1N1,566,WA-UW-21401
XRY72751,1/25/2025,Homo sapiens,USA,H1N1,566,WA-UW-21344
XPP62136,12/23/2024,Homo sapiens,USA,H3N2,566,WA-UW-21056
XPP62348,1/2/2025,Homo sapiens,USA,H3N2,566,WA-UW-20768
XRY73014,2/4/2025,Homo sapiens,USA,H1N1,566,WA-UW-19648
XBA98675,1/8/2024,Homo sapiens,USA,H3N2,566,WA-UW-19606
XRY72523,1/1/2025,Homo sapiens,USA,H1N1,566,WA-UW-19040
XBA98844,2/1/2024,Homo sapiens,USA,H1N1,566,WA-UW-18882
XRY72881,1/30/2025,Homo sapiens,USA,H1N1,566,WA-UW-18816
XAX02012,3/14/2024,Homo sapiens,USA,H1N1,566,WA-UW-18152
XPP62266,12/30/2024,Homo sapiens,USA,H3N2,566,WA-UW-17824
XPP62338,1/2/2025,Homo sapiens,USA,H3N2,566,WA-UW-17464
XPP62002,12/9/2024,Homo sapiens,USA,H3N2,566,WA-UW-17056
XBA98837,2/14/2024,Homo sapiens,USA,H1N1,566,WA-UW-15957
XWX51873,12/4/2023,Homo sapiens,USA,H1N1,566,WA-UW-15853
XPP62065,12/19/2024,Homo sapiens,USA,H1N1,566,WA-UW-15840
XTK01845,2/5/2025,Homo sapiens,USA,H1N1,566,WA-UW-15756
XTK01806,1/18/2025,Homo sapiens,USA,H1N1,566,WA-UW-15630
XPP62209,12/27/2024,Homo sapiens,USA,H3N2,566,WA-UW-14976
XXL32106,1/3/2024,Homo sapiens,USA,H1N1,566,WA-UW-14869
XTL09909,1/9/2024,Homo sapiens,USA,H1N1,566,WA-UW-14798
XRY72986,2/3/2025,Homo sapiens,USA,H3N2,566,WA-UW-14688
XAX02168,2/7/2024,Homo sapiens,USA,H1N1,566,WA-UW-14437
XWX51943,12/22/2023,Homo sapiens,USA,H1N1,566,WA-UW-14372
XTL09958,2/5/2024,Homo sapiens,USA,H1N1,566,WA-UW-14173
XRY73049,1/31/2025,Homo sapiens,USA,H3N2,566,WA-UW-13856
XRY72559,1/8/2025,Homo sapiens,USA,H3N2,566,WA-UW-12992
XRY72738,1/24/2025,Homo sapiens,USA,H1N1,566,WA-UW-12960
XPP62583,12/27/2024,Homo sapiens,USA,H3N2,566,WA-UW-12960
XTL09970,2/23/2024,Homo sapiens,USA,H3N2,566,WA-UW-12958
XWX51916,12/20/2023,Homo sapiens,USA,H1N1,566,WA-UW-12902
WWZ33364,12/27/2023,Homo sapiens,USA,H1N1,566,WA-UW-12814
XWX51900,12/20/2023,Homo sapiens,USA,H1N1,566,WA-UW-12577
XPP62050,12/18/2024,Homo sapiens,USA,H3N2,566,WA-UW-12544
XPP62755,11/6/2024,Homo sapiens,USA,H1N1,560,WA-UW-12512
XRY72945,2/1/2025,Homo sapiens,USA,H3N2,566,WA-UW-12480
XAX02159,3/7/2024,Homo sapiens,USA,H1N1,566,WA-UW-12292
XPP61930,6/13/2024,Homo sapiens,USA,H3N2,566,WA-UW-12088
XAX02147,3/7/2024,Homo sapiens,USA,H1N1,566,WA-UW-12055
XPP62120,12/22/2024,Homo sapiens,USA,H1N1,566,WA-UW-11840
WWZ33404,11/20/2023,Homo sapiens,USA,H1N1,566,WA-UW-11747
XPP62747,10/20/2024,Homo sapiens,USA,H1N1,499,WA-UW-11392
XPP62408,12/25/2024,Homo sapiens,USA,H3N2,566,WA-UW-11216
XTL10004,3/4/2024,Homo sapiens,USA,H3N2,566,WA-UW-11129
XBA98825,2/7/2024,Homo sapiens,USA,H1N1,566,WA-UW-11051
XPP62396,12/29/2024,Homo sapiens,USA,H3N2,566,WA-UW-11033
